Pfad: dokumentenanalyse/studienplaene/aufbereitet
Datei: AB_fhooe_studienplan_ba_vz.txt
Bibtexkey Originaldatei: fhooe2020_cur

FH: FH Oberösterreich
Studiengang: Soziale Arbeit, BA, VZ

# Lehrveranstaltungstitel                                                ECTS
# 1. Jahr
# 1. Semester
[1] Berufsorientierung                                                   1,5
[1] Empirische Sozialforschung                                           1,5
[1] Ethik I                                                              1,5
[1] Gesellschaftliche und sozialpsychologische Aspekte des Alterns       1,5
[1] Informationspraktikum                                                2
[1] International Perspectives for Social Work I                         1
[1] Praxisbegleitendes Seminar I                                         1
[1] Projektwerkstatt                                                     1,5
[1] Psychologie I                                                        2,5
[1] Wissenschaftliches Arbeiten I                                        1,5
[1] Wohnungslosigkeit I                                                  1,5
[1] Einführung in die Methoden der Sozialen Arbeit I                     3
[1] Einführung ins Recht                                                 2,5
[1] Pädagogik                                                            2,5
[1] Grundlagen der Straffälligenhilfe                                    1,5
[1] Sozialarbeit im außerschulischen Bildungsbereich                     1
[1] Gesprächsführung und Beratung I                                      1
[1] Präsentation                                                         1


# 2. Semester
[2] Aktuelles Fachgebiet I                                               1
[2] Aktuelles Fachgebiet II                                              1
[2] Forschungswerkstatt I                                                4
[2] Geschichte der Sozialen Arbeit                                       1,5
[2] Konfliktmanagement & Mediation                                       1
[2] Praxisbegleitendes Seminar                                           1
[2] Psychiatrie                                                          3
[2] Soziologie                                                           1,5
[2] Strafrecht                                                           3
[2] Wissenschaftliches Arbeiten II                                       2
[3] Aktuelles Fachgebiet III                                             1
[2] Einführung in die Methoden der Sozialen Arbeit II                    3
[2] Einführung in das OÖ Sozialrecht                                     1
[2] Begleitung von Menschen mit Beeinträchtigung I                       1,5
[2] Einführung in die Familiensozialarbeit                               1,5
[2] Einführung in die Sozialpädagogik                                    1,5
[2] Einführung in Sozialarbeit im Gesundheitswesen                       1,5
[2] Gesprächsführung und Beratung II                                     2


# 2. Jahr
# 3. Semester
[3] Beratung im interkulturellen Kontext                                 1
[3] Datenanalyse                                                         2
[3] Familien- und Zivilprozessrecht                                      3
[3] Forschungswerkstatt II                                               5
[3] Genderspezifische Angebote in der Sozialarbeit                       2
[3] Geriatrie                                                            1
[3] Praxisbegleitendes Seminar III                                       1
[3] Sozialarbeit mit alten Menschen I                                    1
[3] Soziale Arbeit mit AsylwerberInnen                                   1
[3] Soziale Gruppenarbeit                                                2
[3] Sozialraumorientierung                                               1,5
[3] Systemische Beratung I                                               1
[3] Tatausgleich und Haftentlassenenhilfe                                1
[3] Teamarbeit & Teamentwicklung                                         1
[3] Theorie und Geschichte der Migration                                 1
[3] Theorien der Sozialen Arbeit                                         2
[3] Ökonomische Grundlagen der Sozialen Arbeit                           1,5
[3] Sozialarbeit in der Bewährungshilfe und im Elektronisch
überwachten Hausarrest (EüH)                                             1


# 4. Semester
[4] Berufspraktikum inkl. Reflexion                                     12
[4] Forschungswerkstatt III                                              2
[4] International Perspectives for Social Work II                        1
[4] Kinder- und Jugendpsychiatrie                                        1
[4] Klinische Sozialarbeit, Casemanagement                               2
[4] Krisen- und Traumaarbeit                                             1,5
[4] Mobile und offene Jugendarbeit                                       1
[4] Praxisbegleitendes Seminar IV                                        1
[4] Risikofaktoren in der Entwicklung des Kindes                         1
[4] Systemische Beratung II                                              2
[4] Systemische Familienberatung                                         1
[4] Wissenschaftliches Arbeiten III                                      1,5
[4] Familiensozialarbeit im behördlichen Kontext                         1
[4] Recht im Handlungsfeld Sozialarbeit mit Menschen mit
Beeinträchtigung                                                         1
[4] Sozialpädagogik im ambulanten Setting                                4


# 3. Jahr
# 5. Semester
[5] Aktuelles Fachgebiet IV                                              1
[5] Aktuelles Fachgebiet V                                               1
[5] Aktuelles Fachgebiet VI                                              1
[5] Aktuelles Fachgebiet VII                                             1
[5] Arbeits- und Sozialrecht                                             1,5
[5] Arbeitslosigkeit                                                     1,5
[5] Berufspraktikum                                                      5,5
[5] Existenzsicherung/Schuldnerberatung                                  3
[5] Leitungskompetenz in der Sozialen Arbeit                             1,5
[5] Praxisbegleitendes Seminar V                                         1
[5] Professionelle Selbstreflexion I                                     1
[5] Schulsozialarbeit                                                    2,5
[5] Sozial- und Wirtschaftspolitik                                       1
[5] Sozialarbeit im Strafvollzug                                         1,5
[5] Sozialarbeit im forensischen Bereich                                 1,5
[5] Sozialarbeit mit alten Menschen II                                   1,5
[5] Trauerarbeit und Palliative Begleitung                               1,5
[5] Wohnungslosigkeit II                                                 1,5


# 6. Semester
[6] Aktuelles Fachgebiet VIII                                            1
[6] Bachelorarbeit                                                       7
[6] Ethik II                                                             1,5
[6] Fallseminar aus Recht                                                1,5
[6] Familiensozialarbeit mit privaten KJH-Einrichtungen                  1,5
[6] Handlungsfeldspezifische Sozialarbeit                                1,5
[6] Kinderschutz in Theorie und Praxis                                   1,5
[6] Kriminologie                                                         1,5
[6] Professionelle Selbstreflexion II                                    2
[6] Psychologie II                                                       1,5
[6] Social Pedagogy - Residential Care for Children and Young People     1,5
[6] Begleitung von Menschen mit Beeinträchtigung II                      1
[6] Inklusive Pädagogik                                                  1,5
[6] Krisen in der sozialpädagogischen Arbeit mit Jugendlichen            6
[6] Stationäre Krisenbetreuung von Säuglingen und Kindern                0,7
[6] Suchtarbeit und Suchtprävention                                      3
