Pfad: dokumentenanalyse/studienplaene/aufbereitet
Datei: AB_fh-joanneum_studienplan_ba_vz.txt
Bibtexkey Originaldatei: fhjoanneum_od_cur

FH: FH JOANNEUM GmbH
Studiengang: Soziale Arbeit, BA, VZ

# Lehrveranstaltungstitel                                                ECTS
# 1. Jahr
# 1. Semester
[1] Bürgerliches Recht                                                   2
[1] Digitale Soziale Arbeit 1/ Dokumentation                             2
[1] Handlungsfeld Familie/Sozialpädagogik                                3
[1] Handlungsfelder der Sozialen Arbeit                                  2
[1] International and intercultural Social Work                          2
[1] Methodik 1 / Einzelfall- und Primärgruppe                            3
[1] Social Work Issues 1/Autonomous Learning                             3
[1] Sozialrecht                                                          3
[1] Soziologie und Sozialwirtschaft                                      5
[1] Theorien und Entwicklung der Sozialen Arbeit                         5


# 2. Semester
[2] Berufsfeldexploration                                                8
[2] Forschungsmethoden                                                   3
[2] Handlungsfeld Grundsicherung und Arbeitslosigkeit                    3
[2] Methodik 2 / Gruppenarbeit                                           2
[2] Organisation Sozialer Arbeit                                         5
[2] Psychologie für Soziale Arbeit                                       3
[2] Seminar zur Berufsfeldexploration                                    2
[2] Sozialmedizin                                                        2
[2] Wissenschaftliches Arbeiten                                          2


# 2. Jahr
# 3. Semester
[3] Allgemeine Psychiatrie                                               3
[3] Digitale Soziale Arbeit 2                                            1
[3] Handlungsfeld Entwicklungszusammenarbeit                             2
[3] Kommunikation und Gesprächsführung                                   1
[3] Krisenintervention                                                   3
[3] Practice-oriented Skills                                             3
[3] Projekte / Projektmanagement                                         7
[3] Social Work Issues 2                                                 2
[3] Sozialarbeit und Behörden                                            3
[3] Sozialmarketing                                                      3
[3] Sozialpolitik                                                        2


# 4. Semester
[4] Biografie und Lebenswelt                                             3
[4] Excursion - Social Work in European Context                          3
[4] Handlungsfeld Gesundheit und Krankheit                               3
[4] Interdisziplinäre Fallstudien                                        2
[4] Internationale Social Work-Systems                                   2
[4] Lebensweltorientierte Fallstudie                                     5
[4] Methodik 3/ Sozialraum/Gemeinwesenarbeit                             3
[4] Planung des Berufspraktikums                                         1
[4] Rechtsgrundlagen Sozialer Organisationen                             3
[4] Strafrecht                                                           2
[4] Supervision und Reflexionstechniken                                  1

Wahlpflichtfächer:
[4] Handlungsfeld Gruppe 1 A: Sozialarbeit mit alten Menschen            2
[4] Handlungsfeld Gruppe 1 B: Jugendarbeit                               2
[4] Handlungsfeld Gruppe 1 C: Schulsozialarbeit                          2


# 3. Jahr
# 5. Semester
[5] Arbeitsrecht für Soziale Arbeit                                      2
[5] Berufspraktikum                                                     16
[5] Diversität und Gender                                                2
[5] Freigegenstand: Strafrecht                                           2
[5] Personalmanagement                                                   3
[5] Seminar zum Berufspraktikum                                          2
[5] Sozialphilosophie                                                    3

Wahlpflichtfächer:
[5] Handlungsfeld Gruppe 2 A: Sozialarbeit mit Menschen mit
Behinderungen                                                            2
[5] Handlungsfeld Gruppe 2 B: Sozialarbeit mit AsylwerberInnen und
MigrantInnen                                                             2


# 6. Semester
[6] Bachelor Arbeit - Interdisziplinäre Fallstudie                       7
[6] Bachelor-Prüfung                                                     1
[6] Berufseinstieg/3. Praktikum/Fallseminar                              4
[6] Casemanagement                                                       5
[6] Digitale Soziale Arbeit 3                                            1
[6] Freigegenstand: Strafrecht                                           2
[6] Gesellschaftspolitischer Kontext                                     2
[6] Handlungsfeld Soziale Arbeit mit SchuldnerInnen                      2
